prompt,pruning_level,retrieved_concept,retrieved_img_path,correct,top1_similarity
German Shepherd,0.075,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.3196589946746826
Tabby Cat,0.075,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.2937897741794586
Chimpanzee,0.075,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_161.JPEG,True,0.3042731285095215
King Penguin,0.075,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.32997214794158936
American Alligator,0.075,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_247.JPEG,True,0.3233169615268707
Bullfrog,0.075,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_167.JPEG,True,0.3064782917499542
Goldfish,0.075,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3076819181442261
Monarch Butterfly,0.075,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_253.JPEG,True,0.32385945320129395
Lemon,0.075,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_163.JPEG,True,0.30835843086242676
Banana,0.075,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.2969038784503937
German Shepherd,0.1,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.3219069242477417
Tabby Cat,0.1,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.29462897777557373
Chimpanzee,0.1,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_161.JPEG,True,0.3124939799308777
King Penguin,0.1,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.33063000440597534
American Alligator,0.1,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_247.JPEG,True,0.32226696610450745
Bullfrog,0.1,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_167.JPEG,True,0.30806905031204224
Goldfish,0.1,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3122456669807434
Monarch Butterfly,0.1,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_253.JPEG,True,0.3264717161655426
Lemon,0.1,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_163.JPEG,True,0.31296634674072266
Banana,0.1,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.30166852474212646
German Shepherd,0.125,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.31828922033309937
Tabby Cat,0.125,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.29290342330932617
Chimpanzee,0.125,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_133.JPEG,True,0.3144402503967285
King Penguin,0.125,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.33255892992019653
American Alligator,0.125,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_104.JPEG,True,0.32025009393692017
Bullfrog,0.125,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_167.JPEG,True,0.30745017528533936
Goldfish,0.125,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3114641308784485
Monarch Butterfly,0.125,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_253.JPEG,True,0.3257806599140167
Lemon,0.125,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_13.JPEG,True,0.3166784644126892
Banana,0.125,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3174891471862793
German Shepherd,0.15,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.31960374116897583
Tabby Cat,0.15,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.2962073087692261
Chimpanzee,0.15,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_120.JPEG,True,0.3209582269191742
King Penguin,0.15,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.3351234197616577
American Alligator,0.15,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_209.JPEG,True,0.32572123408317566
Bullfrog,0.15,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.3143313527107239
Goldfish,0.15,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.31472986936569214
Monarch Butterfly,0.15,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_253.JPEG,True,0.32386839389801025
Lemon,0.15,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_13.JPEG,True,0.320431649684906
Banana,0.15,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3220042288303375
German Shepherd,0.175,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.31312304735183716
Tabby Cat,0.175,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.2922845482826233
Chimpanzee,0.175,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_133.JPEG,True,0.3161327540874481
King Penguin,0.175,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.33464717864990234
American Alligator,0.175,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_209.JPEG,True,0.322121262550354
Bullfrog,0.175,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.3099920153617859
Goldfish,0.175,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3142756223678589
Monarch Butterfly,0.175,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_253.JPEG,True,0.32002127170562744
Lemon,0.175,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_13.JPEG,True,0.32332879304885864
Banana,0.175,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_146.JPEG,True,0.32122495770454407
German Shepherd,0.2,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_14.JPEG,True,0.30384886264801025
Tabby Cat,0.2,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.2914508879184723
Chimpanzee,0.2,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_107.JPEG,True,0.30657583475112915
King Penguin,0.2,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_249.JPEG,True,0.3351086378097534
American Alligator,0.2,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_209.JPEG,True,0.3210010826587677
Bullfrog,0.2,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.3091887831687927
Goldfish,0.2,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3145603537559509
Monarch Butterfly,0.2,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_209.JPEG,True,0.32134029269218445
Lemon,0.2,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_13.JPEG,True,0.31895115971565247
Banana,0.2,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_146.JPEG,True,0.3218589127063751
German Shepherd,0.225,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_14.JPEG,True,0.3058112561702728
Tabby Cat,0.225,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.2881341874599457
Chimpanzee,0.225,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_107.JPEG,True,0.306673139333725
King Penguin,0.225,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.3337903618812561
American Alligator,0.225,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_209.JPEG,True,0.31220442056655884
Bullfrog,0.225,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_142.JPEG,True,0.30554652214050293
Goldfish,0.225,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.31014299392700195
Monarch Butterfly,0.225,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_208.JPEG,True,0.3233835995197296
Lemon,0.225,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_13.JPEG,True,0.31708404421806335
Banana,0.225,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3183327913284302
German Shepherd,0.25,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_14.JPEG,True,0.2970680892467499
Tabby Cat,0.25,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.2797798216342926
Chimpanzee,0.25,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_0.JPEG,True,0.29690563678741455
King Penguin,0.25,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_263.JPEG,True,0.3196749687194824
American Alligator,0.25,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_209.JPEG,True,0.29844731092453003
Bullfrog,0.25,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_185.JPEG,True,0.2969490885734558
Goldfish,0.25,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.29598647356033325
Monarch Butterfly,0.25,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_209.JPEG,True,0.3087085485458374
Lemon,0.25,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_174.JPEG,True,0.30674123764038086
Banana,0.25,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.31297457218170166
German Shepherd,0.275,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_145.JPEG,True,0.28277844190597534
Tabby Cat,0.275,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.266297310590744
Chimpanzee,0.275,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_0.JPEG,True,0.28047487139701843
King Penguin,0.275,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_228.JPEG,True,0.30577051639556885
American Alligator,0.275,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_107.JPEG,False,0.28419095277786255
Bullfrog,0.275,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_142.JPEG,True,0.28053343296051025
Goldfish,0.275,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_177.JPEG,True,0.2772502601146698
Monarch Butterfly,0.275,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_209.JPEG,True,0.2992623448371887
Lemon,0.275,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_174.JPEG,True,0.2905466854572296
Banana,0.275,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.29660460352897644
German Shepherd,0.3,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_145.JPEG,True,0.2740744948387146
Tabby Cat,0.3,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.25889408588409424
Chimpanzee,0.3,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_107.JPEG,True,0.272948682308197
King Penguin,0.3,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_277.JPEG,True,0.2950783371925354
American Alligator,0.3,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_107.JPEG,False,0.27108821272850037
Bullfrog,0.3,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_123.JPEG,True,0.26026472449302673
Goldfish,0.3,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_177.JPEG,True,0.2699136435985565
Monarch Butterfly,0.3,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_209.JPEG,True,0.286224365234375
Lemon,0.3,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_124.JPEG,True,0.2724927067756653
Banana,0.3,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.28053849935531616
German Shepherd,0.325,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_145.JPEG,True,0.2547147274017334
Tabby Cat,0.325,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_125.JPEG,True,0.24496322870254517
Chimpanzee,0.325,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_107.JPEG,True,0.2645803987979889
King Penguin,0.325,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_277.JPEG,True,0.2788832485675812
