filename,filepath,wnid,domain,superordinate,coordinate,specific,prompt_text,matrix_index,typicality
cat_n02123045_n02123045_119.JPEG,data/images/cat_n02123045_n02123045_119.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,23,Typical
cat_n02123045_n02123045_12.JPEG,data/images/cat_n02123045_n02123045_12.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,24,Typical
cat_n02123045_n02123045_120.JPEG,data/images/cat_n02123045_n02123045_120.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,25,Typical
cat_n02123045_n02123045_121.JPEG,data/images/cat_n02123045_n02123045_121.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,26,Typical
cat_n02123045_n02123045_122.JPEG,data/images/cat_n02123045_n02123045_122.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,27,Typical
cat_n02123045_n02123045_123.JPEG,data/images/cat_n02123045_n02123045_123.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,28,Typical
cat_n02123045_n02123045_124.JPEG,data/images/cat_n02123045_n02123045_124.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,29,Typical
cat_n02123045_n02123045_125.JPEG,data/images/cat_n02123045_n02123045_125.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,30,Typical
cat_n02123045_n02123045_126.JPEG,data/images/cat_n02123045_n02123045_126.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,31,Typical
cat_n02123045_n02123045_127.JPEG,data/images/cat_n02123045_n02123045_127.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,32,Typical
cat_n02123045_n02123045_128.JPEG,data/images/cat_n02123045_n02123045_128.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,33,Typical
cat_n02123045_n02123045_129.JPEG,data/images/cat_n02123045_n02123045_129.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,34,Typical
cat_n02123045_n02123045_13.JPEG,data/images/cat_n02123045_n02123045_13.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,35,Typical
cat_n02123045_n02123045_130.JPEG,data/images/cat_n02123045_n02123045_130.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,36,Typical
cat_n02123045_n02123045_131.JPEG,data/images/cat_n02123045_n02123045_131.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,37,Typical
cat_n02123045_n02123045_132.JPEG,data/images/cat_n02123045_n02123045_132.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,38,Typical
cat_n02123045_n02123045_133.JPEG,data/images/cat_n02123045_n02123045_133.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,39,Typical
cat_n02123045_n02123045_134.JPEG,data/images/cat_n02123045_n02123045_134.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,40,Typical
cat_n02123045_n02123045_135.JPEG,data/images/cat_n02123045_n02123045_135.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,41,Typical
cat_n02123045_n02123045_136.JPEG,data/images/cat_n02123045_n02123045_136.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,42,Typical
cat_n02123045_n02123045_137.JPEG,data/images/cat_n02123045_n02123045_137.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,43,Typical
cat_n02123045_n02123045_138.JPEG,data/images/cat_n02123045_n02123045_138.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,44,Typical
cat_n02123045_n02123045_139.JPEG,data/images/cat_n02123045_n02123045_139.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,45,Typical
cat_n02123045_n02123045_14.JPEG,data/images/cat_n02123045_n02123045_14.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,46,Typical
cat_n02123045_n02123045_140.JPEG,data/images/cat_n02123045_n02123045_140.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,47,Typical
cat_n02123045_n02123045_141.JPEG,data/images/cat_n02123045_n02123045_141.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,48,Typical
cat_n02123045_n02123045_142.JPEG,data/images/cat_n02123045_n02123045_142.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,49,Typical
cat_n02123045_n02123045_143.JPEG,data/images/cat_n02123045_n02123045_143.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,50,Typical
cat_n02123045_n02123045_144.JPEG,data/images/cat_n02123045_n02123045_144.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,51,Typical
cat_n02123045_n02123045_145.JPEG,data/images/cat_n02123045_n02123045_145.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,52,Typical
cat_n02123045_n02123045_146.JPEG,data/images/cat_n02123045_n02123045_146.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,53,Typical
cat_n02123045_n02123045_147.JPEG,data/images/cat_n02123045_n02123045_147.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,54,Typical
cat_n02123045_n02123045_148.JPEG,data/images/cat_n02123045_n02123045_148.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,55,Typical
cat_n02123045_n02123045_149.JPEG,data/images/cat_n02123045_n02123045_149.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,56,Typical
cat_n02123045_n02123045_15.JPEG,data/images/cat_n02123045_n02123045_15.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,57,Typical
cat_n02123045_n02123045_150.JPEG,data/images/cat_n02123045_n02123045_150.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,58,Typical
cat_n02123045_n02123045_151.JPEG,data/images/cat_n02123045_n02123045_151.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,59,Typical
cat_n02123045_n02123045_152.JPEG,data/images/cat_n02123045_n02123045_152.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,60,Typical
cat_n02123045_n02123045_153.JPEG,data/images/cat_n02123045_n02123045_153.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,61,Typical
cat_n02123045_n02123045_154.JPEG,data/images/cat_n02123045_n02123045_154.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,62,Typical
cat_n02123045_n02123045_155.JPEG,data/images/cat_n02123045_n02123045_155.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,63,Typical
cat_n02123045_n02123045_156.JPEG,data/images/cat_n02123045_n02123045_156.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,64,Typical
cat_n02123045_n02123045_157.JPEG,data/images/cat_n02123045_n02123045_157.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,65,Typical
cat_n02123045_n02123045_158.JPEG,data/images/cat_n02123045_n02123045_158.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,66,Typical
cat_n02123045_n02123045_159.JPEG,data/images/cat_n02123045_n02123045_159.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,67,Typical
cat_n02123045_n02123045_16.JPEG,data/images/cat_n02123045_n02123045_16.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,68,Typical
cat_n02123045_n02123045_160.JPEG,data/images/cat_n02123045_n02123045_160.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,69,Typical
cat_n02123045_n02123045_161.JPEG,data/images/cat_n02123045_n02123045_161.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,70,Typical
cat_n02123045_n02123045_162.JPEG,data/images/cat_n02123045_n02123045_162.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,71,Typical
cat_n02123045_n02123045_163.JPEG,data/images/cat_n02123045_n02123045_163.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,72,Typical
cat_n02123045_n02123045_164.JPEG,data/images/cat_n02123045_n02123045_164.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,73,Typical
cat_n02123045_n02123045_165.JPEG,data/images/cat_n02123045_n02123045_165.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,74,Typical
cat_n02123045_n02123045_166.JPEG,data/images/cat_n02123045_n02123045_166.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,75,Typical
cat_n02123045_n02123045_167.JPEG,data/images/cat_n02123045_n02123045_167.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,76,Typical
cat_n02123045_n02123045_168.JPEG,data/images/cat_n02123045_n02123045_168.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,77,Typical
cat_n02123045_n02123045_169.JPEG,data/images/cat_n02123045_n02123045_169.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,78,Typical
cat_n02123045_n02123045_17.JPEG,data/images/cat_n02123045_n02123045_17.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,79,Typical
cat_n02123045_n02123045_170.JPEG,data/images/cat_n02123045_n02123045_170.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,80,Typical
cat_n02123045_n02123045_171.JPEG,data/images/cat_n02123045_n02123045_171.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,81,Typical
cat_n02123045_n02123045_172.JPEG,data/images/cat_n02123045_n02123045_172.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,82,Typical
cat_n02123045_n02123045_173.JPEG,data/images/cat_n02123045_n02123045_173.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,83,Typical
cat_n02123045_n02123045_174.JPEG,data/images/cat_n02123045_n02123045_174.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,84,Typical
cat_n02123045_n02123045_175.JPEG,data/images/cat_n02123045_n02123045_175.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,85,Typical
cat_n02123045_n02123045_176.JPEG,data/images/cat_n02123045_n02123045_176.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,86,Typical
cat_n02123045_n02123045_177.JPEG,data/images/cat_n02123045_n02123045_177.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,87,Typical
cat_n02123045_n02123045_178.JPEG,data/images/cat_n02123045_n02123045_178.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,88,Typical
cat_n02123045_n02123045_179.JPEG,data/images/cat_n02123045_n02123045_179.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,89,Typical
cat_n02123045_n02123045_18.JPEG,data/images/cat_n02123045_n02123045_18.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,90,Typical
cat_n02123045_n02123045_180.JPEG,data/images/cat_n02123045_n02123045_180.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,91,Typical
cat_n02123045_n02123045_181.JPEG,data/images/cat_n02123045_n02123045_181.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,92,Typical
cat_n02123045_n02123045_182.JPEG,data/images/cat_n02123045_n02123045_182.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,93,Typical
cat_n02123045_n02123045_183.JPEG,data/images/cat_n02123045_n02123045_183.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,94,Typical
cat_n02123045_n02123045_184.JPEG,data/images/cat_n02123045_n02123045_184.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,95,Typical
cat_n02123045_n02123045_185.JPEG,data/images/cat_n02123045_n02123045_185.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,96,Typical
cat_n02123045_n02123045_186.JPEG,data/images/cat_n02123045_n02123045_186.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,97,Typical
cat_n02123045_n02123045_187.JPEG,data/images/cat_n02123045_n02123045_187.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,98,Typical
cat_n02123045_n02123045_188.JPEG,data/images/cat_n02123045_n02123045_188.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,99,Typical
dog_n02106662_n02106662_0.JPEG,data/images/dog_n02106662_n02106662_0.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,100,Typical
dog_n02106662_n02106662_1.JPEG,data/images/dog_n02106662_n02106662_1.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,101,Typical
dog_n02106662_n02106662_10.JPEG,data/images/dog_n02106662_n02106662_10.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,102,Typical
dog_n02106662_n02106662_100.JPEG,data/images/dog_n02106662_n02106662_100.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,103,Typical
dog_n02106662_n02106662_101.JPEG,data/images/dog_n02106662_n02106662_101.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,104,Typical
dog_n02106662_n02106662_102.JPEG,data/images/dog_n02106662_n02106662_102.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,105,Typical
dog_n02106662_n02106662_103.JPEG,data/images/dog_n02106662_n02106662_103.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,106,Typical
dog_n02106662_n02106662_104.JPEG,data/images/dog_n02106662_n02106662_104.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,107,Typical
dog_n02106662_n02106662_105.JPEG,data/images/dog_n02106662_n02106662_105.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,108,Typical
dog_n02106662_n02106662_106.JPEG,data/images/dog_n02106662_n02106662_106.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,109,Typical
dog_n02106662_n02106662_107.JPEG,data/images/dog_n02106662_n02106662_107.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,110,Typical
dog_n02106662_n02106662_108.JPEG,data/images/dog_n02106662_n02106662_108.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,111,Typical
dog_n02106662_n02106662_109.JPEG,data/images/dog_n02106662_n02106662_109.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,112,Typical
dog_n02106662_n02106662_11.JPEG,data/images/dog_n02106662_n02106662_11.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,113,Typical
dog_n02106662_n02106662_110.JPEG,data/images/dog_n02106662_n02106662_110.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,114,Typical
dog_n02106662_n02106662_111.JPEG,data/images/dog_n02106662_n02106662_111.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,115,Typical
dog_n02106662_n02106662_112.JPEG,data/images/dog_n02106662_n02106662_112.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,116,Typical
dog_n02106662_n02106662_113.JPEG,data/images/dog_n02106662_n02106662_113.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,117,Typical
dog_n02106662_n02106662_114.JPEG,data/images/dog_n02106662_n02106662_114.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,118,Typical
dog_n02106662_n02106662_115.JPEG,data/images/dog_n02106662_n02106662_115.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,119,Typical
dog_n02106662_n02106662_116.JPEG,data/images/dog_n02106662_n02106662_116.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,120,Typical
dog_n02106662_n02106662_117.JPEG,data/images/dog_n02106662_n02106662_117.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,121,Typical
dog_n02106662_n02106662_118.JPEG,data/images/dog_n02106662_n02106662_118.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,122,Typical
dog_n02106662_n02106662_119.JPEG,data/images/dog_n02106662_n02106662_119.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,123,Typical
dog_n02106662_n02106662_12.JPEG,data/images/dog_n02106662_n02106662_12.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,124,Typical
dog_n02106662_n02106662_120.JPEG,data/images/dog_n02106662_n02106662_120.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,125,Typical
dog_n02106662_n02106662_121.JPEG,data/images/dog_n02106662_n02106662_121.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,126,Typical
dog_n02106662_n02106662_122.JPEG,data/images/dog_n02106662_n02106662_122.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,127,Typical
dog_n02106662_n02106662_123.JPEG,data/images/dog_n02106662_n02106662_123.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,128,Typical
dog_n02106662_n02106662_124.JPEG,data/images/dog_n02106662_n02106662_124.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,129,Typical
dog_n02106662_n02106662_125.JPEG,data/images/dog_n02106662_n02106662_125.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,130,Typical
dog_n02106662_n02106662_126.JPEG,data/images/dog_n02106662_n02106662_126.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,131,Typical
dog_n02106662_n02106662_127.JPEG,data/images/dog_n02106662_n02106662_127.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,132,Typical
dog_n02106662_n02106662_128.JPEG,data/images/dog_n02106662_n02106662_128.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,133,Typical
dog_n02106662_n02106662_129.JPEG,data/images/dog_n02106662_n02106662_129.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,134,Typical
dog_n02106662_n02106662_13.JPEG,data/images/dog_n02106662_n02106662_13.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,135,Typical
dog_n02106662_n02106662_130.JPEG,data/images/dog_n02106662_n02106662_130.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,136,Typical
dog_n02106662_n02106662_131.JPEG,data/images/dog_n02106662_n02106662_131.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,137,Typical
dog_n02106662_n02106662_132.JPEG,data/images/dog_n02106662_n02106662_132.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,138,Typical
dog_n02106662_n02106662_133.JPEG,data/images/dog_n02106662_n02106662_133.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,139,Typical
dog_n02106662_n02106662_134.JPEG,data/images/dog_n02106662_n02106662_134.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,140,Typical
dog_n02106662_n02106662_135.JPEG,data/images/dog_n02106662_n02106662_135.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,141,Typical
dog_n02106662_n02106662_136.JPEG,data/images/dog_n02106662_n02106662_136.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,142,Typical
dog_n02106662_n02106662_137.JPEG,data/images/dog_n02106662_n02106662_137.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,143,Typical
dog_n02106662_n02106662_138.JPEG,data/images/dog_n02106662_n02106662_138.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,144,Typical
dog_n02106662_n02106662_139.JPEG,data/images/dog_n02106662_n02106662_139.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,145,Typical
dog_n02106662_n02106662_14.JPEG,data/images/dog_n02106662_n02106662_14.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,146,Typical
dog_n02106662_n02106662_140.JPEG,data/images/dog_n02106662_n02106662_140.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,147,Typical
dog_n02106662_n02106662_141.JPEG,data/images/dog_n02106662_n02106662_141.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,148,Typical
dog_n02106662_n02106662_142.JPEG,data/images/dog_n02106662_n02106662_142.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,149,Typical
dog_n02106662_n02106662_143.JPEG,data/images/dog_n02106662_n02106662_143.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,150,Typical
dog_n02106662_n02106662_144.JPEG,data/images/dog_n02106662_n02106662_144.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,151,Typical
dog_n02106662_n02106662_145.JPEG,data/images/dog_n02106662_n02106662_145.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,152,Typical
dog_n02106662_n02106662_146.JPEG,data/images/dog_n02106662_n02106662_146.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,153,Typical
dog_n02106662_n02106662_147.JPEG,data/images/dog_n02106662_n02106662_147.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,154,Typical
dog_n02106662_n02106662_148.JPEG,data/images/dog_n02106662_n02106662_148.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,155,Typical
dog_n02106662_n02106662_149.JPEG,data/images/dog_n02106662_n02106662_149.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,156,Typical
dog_n02106662_n02106662_15.JPEG,data/images/dog_n02106662_n02106662_15.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,157,Typical
dog_n02106662_n02106662_150.JPEG,data/images/dog_n02106662_n02106662_150.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,158,Typical
dog_n02106662_n02106662_151.JPEG,data/images/dog_n02106662_n02106662_151.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,159,Typical
dog_n02106662_n02106662_152.JPEG,data/images/dog_n02106662_n02106662_152.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,160,Typical
dog_n02106662_n02106662_153.JPEG,data/images/dog_n02106662_n02106662_153.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,161,Typical
dog_n02106662_n02106662_154.JPEG,data/images/dog_n02106662_n02106662_154.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,162,Typical
dog_n02106662_n02106662_155.JPEG,data/images/dog_n02106662_n02106662_155.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,163,Typical
dog_n02106662_n02106662_156.JPEG,data/images/dog_n02106662_n02106662_156.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,164,Typical
dog_n02106662_n02106662_157.JPEG,data/images/dog_n02106662_n02106662_157.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,165,Typical
dog_n02106662_n02106662_158.JPEG,data/images/dog_n02106662_n02106662_158.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,166,Typical
dog_n02106662_n02106662_159.JPEG,data/images/dog_n02106662_n02106662_159.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,167,Typical
dog_n02106662_n02106662_16.JPEG,data/images/dog_n02106662_n02106662_16.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,168,Typical
dog_n02106662_n02106662_160.JPEG,data/images/dog_n02106662_n02106662_160.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,169,Typical
dog_n02106662_n02106662_161.JPEG,data/images/dog_n02106662_n02106662_161.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,170,Typical
dog_n02106662_n02106662_162.JPEG,data/images/dog_n02106662_n02106662_162.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,171,Typical
dog_n02106662_n02106662_163.JPEG,data/images/dog_n02106662_n02106662_163.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,172,Typical
dog_n02106662_n02106662_164.JPEG,data/images/dog_n02106662_n02106662_164.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,173,Typical
dog_n02106662_n02106662_165.JPEG,data/images/dog_n02106662_n02106662_165.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,174,Typical
dog_n02106662_n02106662_166.JPEG,data/images/dog_n02106662_n02106662_166.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,175,Typical
dog_n02106662_n02106662_167.JPEG,data/images/dog_n02106662_n02106662_167.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,176,Typical
dog_n02106662_n02106662_168.JPEG,data/images/dog_n02106662_n02106662_168.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,177,Typical
dog_n02106662_n02106662_169.JPEG,data/images/dog_n02106662_n02106662_169.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,178,Typical
dog_n02106662_n02106662_17.JPEG,data/images/dog_n02106662_n02106662_17.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,179,Typical
dog_n02106662_n02106662_170.JPEG,data/images/dog_n02106662_n02106662_170.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,180,Typical
dog_n02106662_n02106662_171.JPEG,data/images/dog_n02106662_n02106662_171.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,181,Typical
dog_n02106662_n02106662_172.JPEG,data/images/dog_n02106662_n02106662_172.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,182,Typical
dog_n02106662_n02106662_173.JPEG,data/images/dog_n02106662_n02106662_173.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,183,Typical
dog_n02106662_n02106662_174.JPEG,data/images/dog_n02106662_n02106662_174.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,184,Typical
dog_n02106662_n02106662_175.JPEG,data/images/dog_n02106662_n02106662_175.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,185,Typical
dog_n02106662_n02106662_176.JPEG,data/images/dog_n02106662_n02106662_176.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,186,Typical
dog_n02106662_n02106662_177.JPEG,data/images/dog_n02106662_n02106662_177.JPEG,n02106662,Living,Animals,Mammals,Dog,dog,187,Typical
